iter	Passed	Remaining
0	0	39
1	0	34
2	0	31
3	1	28
4	1	28
5	1	28
6	2	28
7	2	28
8	2	27
9	3	27
10	3	26
11	3	26
12	3	26
13	4	25
14	4	25
15	4	24
16	5	24
17	5	23
18	5	23
19	5	22
20	6	23
21	6	22
22	6	22
23	6	21
24	7	21
25	7	21
26	7	20
27	8	20
28	8	20
29	8	20
30	8	19
31	9	19
32	9	18
33	9	18
34	10	18
35	10	18
36	10	18
37	10	17
38	11	17
39	11	17
40	11	16
41	11	16
42	12	15
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	15	13
53	15	13
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	17	11
60	17	11
61	17	10
62	18	10
63	18	10
64	18	10
65	18	9
66	19	9
67	19	9
68	20	9
69	20	8
70	20	8
71	21	8
72	21	7
73	21	7
74	21	7
75	22	7
76	22	6
77	22	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	4
83	24	4
84	25	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	28	0
97	29	0
98	29	0
99	29	0
