iter	Passed	Remaining
0	55	55680
1	56	28003
2	56	18816
3	57	14198
4	57	11418
5	57	9566
6	58	8286
7	58	7287
8	59	6522
9	59	5899
10	59	5390
11	60	4962
12	60	4600
13	60	4292
14	61	4024
15	61	3794
16	62	3591
17	62	3415
18	63	3252
19	63	3106
20	63	2970
21	64	2846
22	64	2733
23	64	2630
24	64	2534
25	65	2445
26	65	2365
27	65	2288
28	66	2225
29	66	2160
30	67	2098
31	67	2041
32	67	1987
33	68	1935
34	68	1889
35	68	1843
36	69	1799
37	69	1758
38	69	1719
39	70	1683
40	70	1647
41	70	1613
42	71	1581
43	71	1554
44	71	1527
45	72	1501
46	72	1475
47	73	1448
48	73	1424
49	73	1400
50	74	1377
51	74	1355
52	74	1333
53	75	1314
54	75	1294
55	75	1275
56	75	1256
57	76	1238
58	76	1221
59	76	1204
60	77	1188
61	77	1173
62	77	1158
63	78	1143
64	78	1129
65	78	1115
66	79	1101
67	79	1089
68	79	1077
69	80	1065
70	80	1052
71	80	1041
72	81	1029
73	81	1018
74	81	1008
75	82	999
76	82	989
77	83	987
78	83	978
79	84	968
80	84	959
81	84	950
82	85	939
83	85	929
84	85	920
85	85	912
86	86	903
87	86	895
88	86	887
89	87	880
90	87	872
91	87	866
92	88	858
93	88	850
94	88	843
95	88	836
96	89	830
97	89	823
98	89	817
99	90	811
100	90	805
101	90	799
102	91	793
103	91	787
104	91	781
105	91	775
106	92	770
107	92	764
108	92	759
109	93	754
110	93	750
111	94	745
112	94	740
113	94	735
114	94	730
115	95	725
116	95	720
117	95	715
118	96	711
119	96	706
120	96	702
121	96	697
122	97	693
123	97	689
124	98	686
125	98	682
126	98	677
127	98	673
128	99	670
129	99	666
130	99	662
131	100	659
132	100	655
133	100	652
134	101	648
135	101	645
136	101	642
137	102	638
138	102	635
139	102	631
140	103	629
141	103	624
142	103	621
143	103	618
144	104	615
145	104	612
146	104	608
147	105	606
148	105	603
149	105	600
150	106	597
151	106	594
152	106	591
153	107	588
154	107	585
155	107	582
156	107	579
157	108	577
158	108	575
159	109	572
160	109	569
161	109	566
162	109	564
163	110	561
164	110	559
165	110	557
166	111	554
167	111	552
168	111	550
169	112	547
170	112	545
171	112	543
172	113	541
173	113	539
174	114	537
175	114	535
176	114	533
177	115	532
178	115	529
179	115	527
180	116	528
181	117	526
182	117	524
183	117	522
184	118	520
185	118	518
186	118	516
187	119	514
188	119	512
189	119	510
190	119	508
191	120	505
192	120	504
193	120	502
194	121	500
195	121	498
196	121	496
197	122	494
198	122	492
199	122	490
200	123	489
201	123	487
202	123	485
203	123	483
204	124	481
205	124	479
206	124	478
207	125	476
208	125	474
209	125	473
210	126	471
211	126	469
212	126	468
213	126	466
214	127	464
215	127	463
216	127	461
217	128	459
218	128	458
219	128	456
220	129	455
221	129	454
222	129	452
223	130	450
224	130	449
225	130	447
226	131	446
227	131	444
228	131	443
229	131	441
230	132	440
231	132	438
232	132	437
233	133	436
234	133	434
235	133	433
236	134	431
237	134	430
238	134	429
239	135	427
240	135	426
241	135	425
242	136	423
243	136	422
244	136	421
245	137	419
246	137	418
247	137	417
248	137	415
249	138	414
250	138	413
251	138	412
252	139	411
253	139	409
254	139	408
255	140	407
256	140	406
257	140	405
258	141	404
259	141	402
260	141	401
261	142	400
262	142	399
263	142	398
264	143	397
265	143	396
266	143	394
267	144	393
268	144	392
269	144	391
270	145	390
271	145	389
272	145	387
273	146	386
274	146	385
275	146	384
276	146	383
277	147	382
278	147	381
279	147	380
280	148	378
281	148	377
282	148	376
283	148	375
284	149	374
285	149	372
286	149	371
287	150	370
288	150	369
289	150	368
290	151	368
291	151	367
292	151	365
293	151	364
294	152	363
295	152	363
296	152	361
297	153	360
298	153	359
299	153	358
300	154	358
301	154	357
302	154	356
303	155	355
304	155	354
305	155	353
306	156	352
307	156	351
308	156	350
309	157	349
310	157	348
311	157	347
312	158	346
313	158	345
314	158	344
315	158	343
316	159	343
317	159	342
318	159	341
319	160	340
320	160	339
321	160	338
322	161	337
323	161	336
324	161	335
325	161	334
326	162	334
327	162	333
328	162	332
329	163	331
330	163	330
331	163	329
332	164	328
333	164	328
334	164	327
335	165	326
336	165	325
337	165	324
338	165	323
339	166	322
340	166	321
341	166	320
342	167	319
343	167	319
344	167	318
345	167	317
346	168	316
347	168	315
348	168	314
349	169	314
350	169	313
351	169	312
352	170	311
353	170	310
354	170	310
355	171	309
356	171	308
357	171	307
358	171	306
359	172	306
360	172	305
361	172	304
362	173	303
363	173	302
364	173	302
365	174	302
366	175	301
367	175	301
368	175	300
369	175	299
370	176	298
371	176	298
372	176	297
373	177	296
374	177	295
375	177	294
376	177	294
377	178	293
378	178	292
379	178	291
380	179	291
381	179	290
382	179	289
383	180	288
384	180	288
385	180	287
386	180	286
387	181	285
388	181	285
389	181	284
390	182	283
391	182	282
392	182	282
393	182	281
394	183	280
395	183	279
396	183	279
397	184	278
398	184	277
399	184	277
400	185	276
401	185	275
402	185	275
403	186	274
404	186	273
405	186	273
406	186	272
407	187	271
408	187	270
409	187	270
410	188	269
411	188	268
412	188	268
413	188	267
414	189	266
415	189	265
416	189	265
417	190	264
418	190	263
419	190	263
420	190	262
421	191	262
422	191	261
423	191	260
424	192	260
425	192	259
426	192	258
427	193	258
428	193	257
429	193	256
430	194	256
431	194	255
432	194	254
433	194	254
434	195	253
435	195	252
436	195	252
437	196	251
438	196	251
439	197	250
440	197	250
441	197	249
442	198	249
443	198	248
444	198	247
445	199	247
446	199	246
447	199	246
448	199	245
449	200	244
450	200	244
451	200	243
452	201	242
453	201	242
454	201	241
455	202	241
456	202	240
457	202	239
458	202	239
459	203	238
460	203	237
461	203	237
462	204	236
463	204	236
464	204	235
465	205	235
466	205	234
467	205	233
468	206	233
469	206	232
470	206	232
471	206	231
472	207	230
473	207	230
474	207	229
475	208	229
476	208	228
477	208	228
478	209	227
479	209	226
480	209	226
481	210	225
482	210	225
483	210	224
484	211	224
485	211	223
486	211	223
487	212	222
488	212	221
489	212	221
490	212	220
491	213	220
492	213	219
493	213	218
494	214	218
495	214	217
496	214	217
497	214	216
498	215	216
499	215	215
500	215	215
501	216	214
502	216	213
503	216	213
504	217	212
505	217	212
506	217	211
507	218	211
508	218	210
509	218	210
510	219	209
511	219	209
512	219	208
513	220	208
514	220	207
515	220	207
516	221	206
517	221	205
518	221	205
519	221	204
520	222	204
521	222	203
522	222	203
523	223	202
524	223	202
525	223	201
526	223	200
527	224	200
528	224	199
529	224	199
530	225	198
531	225	198
532	225	197
533	226	197
534	226	196
535	226	196
536	226	195
537	227	195
538	227	194
539	227	194
540	228	193
541	228	192
542	228	192
543	228	191
544	229	191
545	229	190
546	229	190
547	230	189
548	230	189
549	230	188
550	231	188
551	231	187
552	231	187
553	232	186
554	232	186
555	232	185
556	232	185
557	233	184
558	233	184
559	233	183
560	234	183
561	234	182
562	234	182
563	235	181
564	235	181
565	235	180
566	236	180
567	236	179
568	236	179
569	237	178
570	237	178
571	237	177
572	238	177
573	238	176
574	238	176
575	238	175
576	239	175
577	239	174
578	239	174
579	240	173
580	240	173
581	240	173
582	241	172
583	241	171
584	241	171
585	242	171
586	242	170
587	242	170
588	243	169
589	243	169
590	243	168
591	244	168
592	244	167
593	244	167
594	245	166
595	245	166
596	245	165
597	245	165
598	246	164
599	246	164
600	246	163
601	247	163
602	247	162
603	247	162
604	248	161
605	248	161
606	248	160
607	249	160
608	249	160
609	249	159
610	250	159
611	250	158
612	250	158
613	250	157
614	251	157
615	251	156
616	251	156
617	252	155
618	252	155
619	252	154
620	253	154
621	253	154
622	253	153
623	254	153
624	254	152
625	254	152
626	255	151
627	255	151
628	255	150
629	256	150
630	256	150
631	257	149
632	257	149
633	258	149
634	258	148
635	258	148
636	259	147
637	259	147
638	259	146
639	260	146
640	260	145
641	260	145
642	261	145
643	261	144
644	261	144
645	262	143
646	262	143
647	263	142
648	263	142
649	263	142
650	264	141
651	264	141
652	264	140
653	265	140
654	265	139
655	265	139
656	266	139
657	266	138
658	267	138
659	267	137
660	267	137
661	268	137
662	268	136
663	269	136
664	269	135
665	270	135
666	270	135
667	271	134
668	271	134
669	271	133
670	272	133
671	272	133
672	273	132
673	273	132
674	273	131
675	274	131
676	274	131
677	274	130
678	275	130
679	275	129
680	275	129
681	276	128
682	276	128
683	276	127
684	277	127
685	277	126
686	277	126
687	277	126
688	278	125
689	278	125
690	278	124
691	279	124
692	279	123
693	279	123
694	280	122
695	280	122
696	280	122
697	281	121
698	281	121
699	281	120
700	281	120
701	282	119
702	282	119
703	282	118
704	283	118
705	283	118
706	283	117
707	284	117
708	284	116
709	284	116
710	285	116
711	285	115
712	286	115
713	286	114
714	286	114
715	287	113
716	287	113
717	287	113
718	288	112
719	288	112
720	288	111
721	289	111
722	289	110
723	289	110
724	290	110
725	290	109
726	290	109
727	291	108
728	291	108
729	291	107
730	291	107
731	292	107
732	292	106
733	292	106
734	293	105
735	293	105
736	293	104
737	294	104
738	294	104
739	294	103
740	295	103
741	295	102
742	295	102
743	296	101
744	296	101
745	296	101
746	297	100
747	297	100
748	297	99
749	298	99
750	298	98
751	298	98
752	298	98
753	299	97
754	299	97
755	299	96
756	300	96
757	300	95
758	300	95
759	300	95
760	301	94
761	301	94
762	301	93
763	302	93
764	302	92
765	302	92
766	302	92
767	303	91
768	303	91
769	303	90
770	304	90
771	304	89
772	304	89
773	305	89
774	305	88
775	305	88
776	306	87
777	306	87
778	306	87
779	306	86
780	307	86
781	307	85
782	307	85
783	308	84
784	308	84
785	308	84
786	309	83
787	309	83
788	309	82
789	309	82
790	310	81
791	310	81
792	310	81
793	311	80
794	311	80
795	311	79
796	312	79
797	312	79
798	312	78
799	312	78
800	313	77
801	313	77
802	313	77
803	314	76
804	314	76
805	315	75
806	315	75
807	315	75
808	315	74
809	316	74
810	316	73
811	317	73
812	317	72
813	317	72
814	318	72
815	318	71
816	318	71
817	319	70
818	319	70
819	319	70
820	320	69
821	320	69
822	320	68
823	320	68
824	321	68
825	321	67
826	321	67
827	322	66
